ID,化学式,电导率（室温，S/cm）,电导率测得温度（°C）,电导率（其他温度，S/cm）,化合物制备方法,family,非晶,对应文献DOI,文献年份,备注
bim,Li3.25Sn0.25P0.75S4,0.0036,RT,,unknow,LGPS,unknow,10.1039/c4fd00143e,2014,
02p,Li10SiP2S12,0.0023,RT,,unknow,LGPS,unknow,10.1149/2.0501412jes,2014,
ueu,Li5.74La3Zr1.5Ta0.5O12,0.000903,RT,,unknow,garnet,unknow,10.1002/aenm.201570062|10.1002/aenm.201500096,2015,
uwh,La3Li5.08Ta1.51Zr0.39O12,0.000103,RT,,unknow,garnet,unknow,10.1002/aenm.201570062|10.1002/aenm.201500096,2015,
pe2,Li17Sb13S28,1.05e-09,RT,,unknow,sulfides,unknow,10.1002/chem.201502052,2015,partial occupancy corrected
rr5,LiTi2(PO4)3,7.2e-05,RT,,unknow,NASICON,unknow,10.1007/s11164-013-1348-0,2015,close match: Yes；close match DOI: 10.1039/b203652p
6j9,Li1.15Fe0.15Ti1.85(PO4)3,0.000522,RT,,unknow,NASICON,unknow,10.1007/s11164-013-1348-0,2015,
kfp,Li2BaP2O7,1.59881e-17,RT,,unknow,pyrophosphate,unknow,10.1007/s11581-014-1261-6,2015,
kkn,Li6NBr3,1e-08,RT,,unknow,halides,unknow,10.1016/j.jallcom.2015.01.082,2015,close match: Yes；close match DOI: 10.1016/s0925-8388(97)00158-8
rg6,Li1.4Al0.4Ti1.6(PO4)3,0.00338,RT,,unknow,NASICON,unknow,10.1016/j.jeurceramsoc.2014.11.023,2015,refere D2 - 134
ed4,Li1.2Al0.2Ge1.8(PO4)3,7.94e-05,RT,,unknow,NASICON,unknow,10.1016/j.jeurceramsoc.2014.11.023,2015,
vg0,Li1.5Al0.5Ge1.5(PO4)3,0.00019,RT,,unknow,NASICON,unknow,10.1016/j.jeurceramsoc.2014.11.023,2015,close match: Yes；close match DOI: 10.1016/j.jallcom.2020.155878
z9y,Li1.2Al0.2Ti1.8(PO4)3,0.00338,RT,,unknow,NASICON,unknow,10.1016/j.jeurceramsoc.2014.11.023,2015,close match: Yes；close match DOI: 10.1021/acs.chemmater.9b04419
7cr,Li2NaBP2O8,4.4e-18,RT,,unknow,Borophosphates,unknow,10.1016/j.jssc.2014.11.024,2015,
72f,(Li6.26Al0.24)La3Zr2O12,0.00021,RT,,unknow,garnet,unknow,10.1016/j.ssi.2015.04.011,2015,
bq9,Li3BiO3,2.4e-10,RT,,unknow,oxides,unknow,10.1016/j.ssi.2015.10.016,2015,D - Rhi - 1_si_1_ Li3BiO3；close match: Yes；close match DOI: 10.1002/zaac.19895760119
skm,Li5BiO5,3.9e-09,RT,,unknow,oxides,unknow,10.1016/j.ssi.2015.10.016,2015,D - Rhi - 1_si_2_ Li5BiO5
x2i,LiBiO2,3.8e-08,RT,,unknow,oxides,unknow,10.1016/j.ssi.2015.10.016,2015,close match: Yes；close match DOI: icsd-46022
d7f,Li3BiO4,4.1e-10,RT,,unknow,oxides,unknow,10.1016/j.ssi.2015.10.016,2015,close match: Yes；close match DOI: icsd-109087
goi,LiClC3H7NO,0.00016,RT,,unknow,organic_salts,unknow,10.1021/acs.chemmater.5b00940,2015,
5z8,Li5.72Al0.26La3Zr1.5W0.25O12,0.00049,RT,,unknow,garnet,unknow,10.1021/acs.chemmater.5b02429,2015,composition check
5d6,Li6.8La3Zr1.9Mo0.1O12,8e-05,RT,,unknow,garnet,unknow,10.1021/acs.inorgchem.5b01895,2015,
ciq,Li6.6La3Zr1.8Mo0.2O12,0.000311,RT,,unknow,garnet,unknow,10.1021/acs.inorgchem.5b01895,2015,
suz,Li6.4La3Zr1.7Mo0.3O12,0.000369,RT,,unknow,garnet,unknow,10.1021/acs.inorgchem.5b01895,2015,
1tk,Li6.2La3Zr1.6Mo0.4O12,0.00034,RT,,unknow,garnet,unknow,10.1021/acs.inorgchem.5b01895,2015,
9o6,Li6.5La3Zr1.75Mo0.25O12,0.000333,RT,,unknow,garnet,unknow,10.1021/acs.inorgchem.5b01895,2015,
xas,Li2SnS3,1.5e-05,RT,,unknow,sulfides,unknow,10.1021/cm5037524,2015,
pwr,Li7.22Si1.5P0.5O8,1.64e-07,RT,,unknow,LISICON,unknow,10.1021/jacs.5b04444,2015,partial occupancy corrected
fj5,Li6.5O8P1.5Si0.5,4.49e-07,RT,,unknow,LISICON,unknow,10.1021/jacs.5b04444,2015,partial occupancy corrected
wa3,Li51.2Al1.6La24Zr16O96,0.000254,RT,,unknow,garnet,unknow,10.1038/srep18053,2015,"Z, composition incorrect"
l6h,Li49.6Al1.6La24Zr14.4Ta1.6O96,0.000614,RT,,unknow,garnet,unknow,10.1038/srep18053,2015,
52b,Li10.05Ge1.05P1.95S12,0.0122,RT,,unknow,LGPS,unknow,10.1039/c4ta05231e,2015,
8po,Li10.2Ge1.2P1.8S12,0.0132,RT,,unknow,LGPS,unknow,10.1039/c4ta05231e,2015,
ya8,Li10.5Ge1.5P1.5S12,0.011,RT,,unknow,LGPS,unknow,10.1039/c4ta05231e,2015,
824,Li10.35Ge1.35P1.65S12,0.0144,RT,,unknow,LGPS,unknow,10.1039/c4ta05231e,2015,
j8q,Li10GeP2S12,0.0121,RT,,unknow,LGPS,unknow,10.1039/c4ta05231e|10.1021/acs.chemmater.7b00886,2015,close match: Yes；close match DOI: 10.1039/c3cp51985f
nip,Li9.81Sn0.81P2.19S12,0.0055,RT,,unknow,LGPS,unknow,10.1107/s2052520615022283,2015,partial occupancy corrected
k4x,Li10.35Si1.35P1.65S12,0.0065,RT,,unknow,LGPS,unknow,10.1107/s2052520615022283,2015,
hx7,Li2(OH)Br,1.2e-06,RT,,unknow,antiperovskite,unknow,10.1002/ange.201604554,2016,close match: Yes；close match DOI: 10.1016/0022-5088(81)90132-6
f5n,Li2(OH)0.9F0.1Cl,3.86e-05,RT,,unknow,antiperovskite,unknow,10.1002/anie.201604554,2016,
kbo,Li2Sr2Al(PO4)3,<1E-10,RT,,unknow,NASICON,unknow,10.1016/j.jssc.2016.08.006,2016,
u8r,Ba3LiTa5ZrSi4O26,<1E-10,RT,,unknow,oxides,unknow,10.1016/j.ssi.2015.08.011,2016,
ecp,LaLiO2,<1E-10,RT,,unknow,Lanthanumlithiumoxide,unknow,10.1016/j.ssi.2015.09.001,2016,
me3,(La0.9Sr0.1)LiO2,6.29e-10,RT,,unknow,Lanthanumlithiumoxide,unknow,10.1016/j.ssi.2015.09.001,2016,
zs0,La(Li0.76Mg0.08)O2,7.27e-10,RT,,unknow,Lanthanumlithiumoxide,unknow,10.1016/j.ssi.2015.09.001,2016,
0iv,Li4P2S6,2.38e-07,RT,,unknow,thio-phosphate,unknow,10.1016/j.ssi.2015.10.015,2016,close match: Yes；close match DOI: 10.1021/acs.chemmater.6b04175
qbb,Li3OBr,1.1e-06,RT,,unknow,antiperovskite,unknow,10.1016/j.ssi.2015.11.027,2016,close match: Yes；close match DOI: 10.1515/znb-1989-1103
ptg,Li7P3S11,0.0086,RT,,unknow,thio-phosphate,unknow,10.1021/acs.chemmater.6b02163,2016,
mtr,Fe0.16La2.95Li5.68Zr2O12,0.000935,RT,,unknow,garnet,unknow,10.1021/acs.chemmater.6b02516,2016,check the composition
s2v,Fe0.19La2.95Li5.57Zr2O12,0.00138,RT,,unknow,garnet,unknow,10.1021/acs.chemmater.6b02516,2016,check the composition
2ro,Li4P2S6,1.6e-10,RT,,unknow,thio-phosphate,unknow,10.1021/acs.chemmater.6b04175,2016,could be deleted; glass ceramic
oi4,Li0.375Sr0.4375Hf0.25Ta0.75O3,0.00038,RT,,unknow,perovskites,unknow,10.1021/acsami.6b03070,2016,
ikh,Li9.6P3S12,0.0012,RT,,unknow,LGPS,unknow,10.1038/nenergy.2016.30,2016,appendix: diffraction data available
ete,Li9.54Si1.74P1.44S11.7Cl0.3,0.025,RT,,unknow,LGPS,unknow,10.1038/nenergy.2016.30,2016,appendix: diffraction data available
oxc,Li1.4Al0.4Ti1.6(PO4)3,0.00563,RT,,unknow,NASICON,unknow,10.1039/c5ta08545d,2016,
opo,Li0.6[Li0.2Sn0.8S2],0.00012,RT,,unknow,layered,unknow,10.1039/c6ee00633g,2016,
bnu,LiGa0.5Al0.5GeO4,<1E-10,RT,,unknow,oxides,unknow,10.1149/2.1111610jes,2016,
kxw,LiAlGeO4,<1E-10,RT,,unknow,oxides,unknow,10.1149/2.1111610jes,2016,
um1,LiGaGeO4,<1E-10,RT,,unknow,oxides,unknow,10.1149/2.1111610jes,2016,
sg0,LiScO2,<1E-10,RT,,unknow,oxides,unknow,10.2320/matertrans.y-m2016816,2016,ICSD request
97b,Li0.9Sc0.9Zr0.1O2,<1E-10,RT,,unknow,oxides,unknow,10.2320/matertrans.y-m2016816,2016,ICSD request
dbs,Li6.5La3Zr1.5Ta0.5O12,0.000794,RT,,unknow,garnet,unknow,10.3389/fenrg.2016.00028,2016,
bt0,Li6.5La2.95Ba0.05Zr1.45Ta0.55O12,0.000832,RT,,unknow,garnet,unknow,10.3389/fenrg.2016.00028,2016,
dti,Li6.5La2.9Ba0.1Zr1.4Ta0.6O12,0.000834,RT,,unknow,garnet,unknow,10.3389/fenrg.2016.00028,2016,
7gm,Li6.5La2.8Ba0.2Zr1.3Ta0.7O12,0.000631,RT,,unknow,garnet,unknow,10.3389/fenrg.2016.00028,2016,
c71,Li6.5La2.7Ba0.3Zr1.2Ta0.8O12,0.000492,RT,,unknow,garnet,unknow,10.3389/fenrg.2016.00028,2016,
lk8,(La0.55Li0.45)(Ti0.9Al0.1)O3,0.00151,RT,,unknow,perovskites,unknow,10.1016/j.jallcom.2017.05.278,2017,
lud,(La0.6Li0.4)(Ti0.8Al0.2)O3,0.000568,RT,,unknow,perovskites,unknow,10.1016/j.jallcom.2017.05.278,2017,
vlm,(La0.65Li0.35)(Ti0.7Al0.3)O3,0.000161,RT,,unknow,perovskites,unknow,10.1016/j.jallcom.2017.05.278,2017,
gwu,(La0.7Li0.3)(Ti0.6Al0.4)O3,1.04e-07,RT,,unknow,perovskites,unknow,10.1016/j.jallcom.2017.05.278,2017,
24k,Li7Ge3PS12,0.00011,RT,,unknow,argyrodites,unknow,10.1016/j.jssc.2016.12.001,2017,
nkr,Li10GeP2S12,0.00143,RT,,unknow,LGPS,unknow,10.1016/j.ssi.2017.01.014,2017,
906,Li9.8Ba0.1GeP2S12,0.000561,RT,,unknow,LGPS,unknow,10.1016/j.ssi.2017.01.014,2017,
fnu,Li9.6Ba0.2GeP2S12,0.000572,RT,,unknow,LGPS,unknow,10.1016/j.ssi.2017.01.014,2017,
pfi,Li9.4Ba0.3GeP2S12,0.000707,RT,,unknow,LGPS,unknow,10.1016/j.ssi.2017.01.014,2017,
f0h,Li9.2Ba0.4GeP2S12,0.000316,RT,,unknow,LGPS,unknow,10.1016/j.ssi.2017.01.014,2017,
7iw,Li9Ba0.5GeP2S12,9.98e-05,RT,,unknow,LGPS,unknow,10.1016/j.ssi.2017.01.014,2017,
b7v,Li5La3Bi2O12,2.2e-05,RT,,unknow,garnet,unknow,10.1016/j.ssi.2017.03.030,2017,
lol,Li4PS4I,0.00012,RT,,unknow,thio-LISICON,unknow,10.1021/acs.chemmater.7b00013,2017,appendix: diffraction data available
8ub,Li10.5(Sn0.2Si0.8)1.5P1.5S12,0.00879,RT,,unknow,LGPS,unknow,10.1021/acs.chemmater.7b00886,2017,appendix: diffraction data available
7tu,Li10.2(Sn0.2Si0.8)1.2P1.8S12,0.00782,RT,,unknow,LGPS,unknow,10.1021/acs.chemmater.7b00886,2017,appendix: diffraction data available
ui6,Li10.35(Sn0.27Si1.08)P1.65S12,0.011,RT,,unknow,LGPS,unknow,10.1021/acs.chemmater.7b00886,2017,duplicated with line 204; deleted
0o6,Li1.2Ti1.8Sc0.2(PO4)3,9.98e-05,RT,,unknow,NASICON,unknow,10.1021/acs.inorgchem.6b02274,2017,
cfy,Li2P2S6,7.8e-11,RT,,unknow,thio-LISICON,unknow,10.1021/acs.inorgchem.7b00751,2017,
gz8,Li5La3Ta2O12,1.59e-05,RT,,unknow,garnet,unknow,10.1021/acs.inorgchem.7b00816,2017,
419,Li5.3La3Ta1.85Sm0.15O12,7.11e-06,RT,,unknow,garnet,unknow,10.1021/acs.inorgchem.7b00816,2017,
c0g,Li5.5La3Ta1.75Sm0.25O12,5.17e-06,RT,,unknow,garnet,unknow,10.1021/acs.inorgchem.7b00816,2017,
kbu,Li5.70La3Ta1.65Sm0.35O12,2.15e-05,RT,,unknow,garnet,unknow,10.1021/acs.inorgchem.7b00816,2017,
fam,Li5.90La3Ta1.55Sm0.45O12,1.18e-05,RT,,unknow,garnet,unknow,10.1021/acs.inorgchem.7b00816,2017,
dae,Li6.10La3Ta1.45Sm0.55O12,1.4e-05,RT,,unknow,garnet,unknow,10.1021/acs.inorgchem.7b00816,2017,
s3r,Li4Al0.33Si0.33P0.33O4,3.25e-06,RT,,unknow,LISICON,unknow,10.1021/acsami.6b14402,2017,appendix: diffraction data available
max,Li4.25Si0.75Al0.25O4,2.02e-08,RT,,unknow,LISICON,unknow,10.1021/acsami.6b14402,2017,appendix: diffraction data available
k5y,Li3.75Si0.75P0.25O4,5.54e-07,RT,,unknow,LISICON,unknow,10.1021/acsami.6b14402,2017,appendix: diffraction data available
9yt,Li6PS5Cl0.25Br0.75,0.00186,RT,,unknow,argyrodites,unknow,10.1021/jacs.7b06327,2017,
122,Li6PS5Cl,0.00205,RT,,unknow,argyrodites,unknow,10.1021/jacs.7b06327,2017,
ij5,Li6PS5Cl0.5Br0.5,0.00333,RT,,unknow,argyrodites,unknow,10.1021/jacs.7b06327,2017,
6jf,Li6PS5Br,0.00115,RT,,unknow,argyrodites,unknow,10.1021/jacs.7b06327,2017,
ymc,Li6PS5Br0.5I0.5,2.62e-05,RT,,unknow,argyrodites,unknow,10.1021/jacs.7b06327,2017,
ywe,Li6PS5I,1.3e-06,RT,,unknow,argyrodites,unknow,10.1021/jacs.7b06327,2017,
kgl,Li6PS5Cl0.75Br0.25,0.00226,RT,,unknow,argyrodites,unknow,10.1021/jacs.7b06327,2017,
vqj,Li6PS5Br0.75I0.25,0.000112,RT,,unknow,argyrodites,unknow,10.1021/jacs.7b06327,2017,
h82,Li6PS5Br0.25I0.75,4.72e-06,RT,,unknow,argyrodites,unknow,10.1021/jacs.7b06327,2017,
elz,Li3YBr6,0.00192,RT,,unknow,halides,unknow,10.1002/adma.201803075,2018,appendix: diffraction data available；close match: Yes；close match DOI: 10.1021/acs.chemmater.0c04352
ei3,Li3YCl6,0.000539,RT,,unknow,halides,unknow,10.1002/adma.201803075,2018,appendix: diffraction data available；close match: Yes；close match DOI: 10.1021/acs.chemmater.0c04352
y2l,Li5AlS4,1.4e-09,RT,,unknow,thio-LISICON,unknow,10.1016/j.jssc.2017.09.018,2018,
uex,Fe2Na2K(Li3Si12O30),<1E-10,RT,,unknow,sugilites,unknow,10.1016/j.jssc.2018.05.008,2018,
i9a,Li2.5Zn0.25PS4,0.00084,RT,,unknow,sulfides,unknow,10.1021/acs.chemmater.7b05108,2018,
i47,LiZnPS4,5.4e-08,RT,,unknow,sulfides,unknow,10.1021/acs.chemmater.7b05108,2018,close match: Yes；close match DOI: 10.1002/1521-3749(200208)628:8<1765::aid-zaac1765>3.0.co;2-e
dco,Li2Zn0.5PS4,0.00013,RT,,unknow,sulfides,unknow,10.1021/acs.chemmater.7b05108,2018,
tqb,Li1.5Zn0.75PS4,1.65e-05,RT,,unknow,sulfides,unknow,10.1021/acs.chemmater.7b05108,2018,
5zv,Li4Zn(PO4)2,5.55e-18,RT,,unknow,phosphates,unknow,10.1021/acs.chemmater.7b05139,2018,
uox,Li3.7Zn0.7Ga0.3(PO4)2,5.65e-12,RT,,unknow,phosphates,unknow,10.1021/acs.chemmater.7b05139,2018,
gxz,Li4Zn(PO4)2,<1E-10,RT,,unknow,phosphates,unknow,10.1021/acs.chemmater.7b05139,2018,"should be deleted, high T structure, refer the alpha phase"
tbu,Li3.5Zn0.5Ga0.5(PO4)2,<1E-10,RT,,unknow,phosphates,unknow,10.1021/acs.chemmater.7b05139,2018,
mtn,Li10GeP2S12,0.0246,RT,,unknow,LGPS,unknow,10.1021/acs.chemmater.8b00266,2018,
9rc,Li10(Ge0.776Sn0.224)P2S12,0.0141,RT,,unknow,LGPS,unknow,10.1021/acs.chemmater.8b00266,2018,
13q,Li10SnP2S12,0.00398,RT,,unknow,LGPS,unknow,10.1021/acs.chemmater.8b00266,2018,lattice parameters not matching cif
ik8,Li10(Ge0.416Sn0.584)P2S12,0.00743,RT,,unknow,LGPS,unknow,10.1021/acs.chemmater.8b00266,2018,
ssv,Li3P0.2V0.8O4,1.31e-13,RT,,unknow,LISICON,unknow,10.1021/acs.chemmater.8b01504,2018,D_0 calculation
h6c,Li3VO4,9.2e-14,RT,,unknow,LISICON,unknow,10.1021/acs.chemmater.8b01504,2018,close match: Yes；close match DOI: 10.1016/s0022-4596(73)80012-x
e6e,Li3.2Ge0.2P0.8O4,1.14e-06,RT,,unknow,LISICON,unknow,10.1021/acs.chemmater.8b01504,2018,
ylh,Li3.2Ge0.2V0.8O4,1.9e-05,RT,,unknow,LISICON,unknow,10.1021/acs.chemmater.8b01504,2018,
eij,Li3.4Ge0.4P0.6O4,4.5e-06,RT,,unknow,LISICON,unknow,10.1021/acs.chemmater.8b01504,2018,
ldd,Li3.4Ge0.4V0.6O4,8.89e-07,RT,,unknow,LISICON,unknow,10.1021/acs.chemmater.8b01504,2018,
efb,Li3.6Ge0.6P0.4O4,1.1e-05,RT,,unknow,LISICON,unknow,10.1021/acs.chemmater.8b01504,2018,
lcm,Li3.6Ge0.6V0.4O4,3.19e-05,RT,,unknow,LISICON,unknow,10.1021/acs.chemmater.8b01504,2018,
mgs,Li3.8Ge0.8P0.2O4,1.03e-06,RT,,unknow,LISICON,unknow,10.1021/acs.chemmater.8b01504,2018,
31s,Li3.8Ge0.8V0.2O4,2.71e-06,RT,,unknow,LISICON,unknow,10.1021/acs.chemmater.8b01504,2018,
dku,Li3P0.4V0.6O4,3.55e-13,RT,,unknow,LISICON,unknow,10.1021/acs.chemmater.8b01504,2018,
ndx,Li3P0.6V0.4O4,3.2e-13,RT,,unknow,LISICON,unknow,10.1021/acs.chemmater.8b01504,2018,
m0j,Li3P0.8V0.2O4,2.05e-13,RT,,unknow,LISICON,unknow,10.1021/acs.chemmater.8b01504,2018,
9lo,Li3PO4,1.75e-13,RT,,unknow,LISICON,unknow,10.1021/acs.chemmater.8b01504,2018,close match: Yes；close match DOI: icsd-77095
dth,Li4GeO4,1.3e-12,RT,,unknow,LISICON,unknow,10.1021/acs.chemmater.8b01504,2018,close match: Yes；close match DOI: 10.1002/zaac.19875551213
rwr,Li8GeP4,1.8e-05,RT,,unknow,phosphates,unknow,10.1021/acs.chemmater.8b02759,2018,phase: α-Li8GeP4 (space group Pa-3); conductivity difference from 240 is phase-related
pql,Li8SiP4,4.5e-05,RT,,unknow,phosphates,unknow,10.1021/acs.chemmater.8b02759,2018,
240,Li8GeP4,8.6e-05,RT,,unknow,phosphates,unknow,10.1021/acs.chemmater.8b02759,2018,phase: β-Li8GeP4 (space group P-43n); conductivity difference from rwr is phase-related
deu,Li4.4Al0.4Ge0.6S4,4.3e-05,RT,,unknow,sulfides,unknow,10.1021/acs.chemmater.8b03175,2018,
usu,Li4.4Al0.4Sn0.6S4,4.3e-06,RT,,unknow,sulfides,unknow,10.1021/acs.chemmater.8b03175,2018,
clt,Li6CuB4O10,1e-13,RT,,unknow,copper pyroborate,unknow,10.1021/acs.inorgchem.8b01785,2018,
nig,Li6PS5Br,0.00277,RT,,unknow,argyrodites,unknow,10.1021/acs.inorgchem.8b02443,2018,
z16,Li6P(S4.9Se0.1)Br,0.0032,RT,,unknow,argyrodites,unknow,10.1021/acs.inorgchem.8b02443,2018,
hbz,Li6P(S4.8Se0.2)Br,0.00392,RT,,unknow,argyrodites,unknow,10.1021/acs.inorgchem.8b02443,2018,
uut,Li6P(S4.7Se0.3)Br,0.00362,RT,,unknow,argyrodites,unknow,10.1021/acs.inorgchem.8b02443,2018,
cju,Li6P(S4.6Se0.4)Br,0.00364,RT,,unknow,argyrodites,unknow,10.1021/acs.inorgchem.8b02443,2018,
d9l,Li6P(S4.5Se0.5)Br,0.00268,RT,,unknow,argyrodites,unknow,10.1021/acs.inorgchem.8b02443,2018,
96f,Li6P(S4.4Se0.6)Br,0.00278,RT,,unknow,argyrodites,unknow,10.1021/acs.inorgchem.8b02443,2018,
1kq,Li6P(S4.3Se0.7)Br,0.00301,RT,,unknow,argyrodites,unknow,10.1021/acs.inorgchem.8b02443,2018,
c6e,Li6P(S4.2Se0.8)Br,0.00348,RT,,unknow,argyrodites,unknow,10.1021/acs.inorgchem.8b02443,2018,
t2c,Li6P(S4.1Se0.9)Br,0.00382,RT,,unknow,argyrodites,unknow,10.1021/acs.inorgchem.8b02443,2018,
dlj,Li6P(S4Se)Br,0.00361,RT,,unknow,argyrodites,unknow,10.1021/acs.inorgchem.8b02443,2018,
ldx,LiGe2(PO4)3,4.83e-09,RT,,unknow,NASICON,unknow,10.1021/acsami.8b00842,2018,
0fh,Li1.2Al0.2Ge1.8(PO4)3,4.83e-05,RT,,unknow,NASICON,unknow,10.1021/acsami.8b00842,2018,
gw2,Li1.4Al0.4Ge1.6(PO4)3,0.000188,RT,,unknow,NASICON,unknow,10.1021/acsami.8b00842,2018,
1xf,Li1.5Al0.5Ge1.5(PO4)3,0.000336,RT,,unknow,NASICON,unknow,10.1021/acsami.8b00842,2018,
tjh,Li1.7Al0.7Ge1.3(PO4)3,0.000264,RT,,unknow,NASICON,unknow,10.1021/acsami.8b00842,2018,
8fn,Li1.8Al0.8Ge1.2(PO4)3,0.000137,RT,,unknow,NASICON,unknow,10.1021/acsami.8b00842,2018,
3uq,Li1.3Al0.3Ge1.7(PO4)3,8.24e-05,RT,,unknow,NASICON,unknow,10.1021/acsami.8b00842,2018,"check ID 242-247; refer D2 - 140, D2- 146, D1-421"
1dm,Li1.6Al0.6Ge1.4(PO4)3,0.000284,RT,,unknow,NASICON,unknow,10.1021/acsami.8b00842,2018,
xnb,Li5PS4(BH4)2,0.0018,RT,,unknow,argyrodites,unknow,10.1021/acsomega.8b00377,2018,
5wz,Li6PS5I,1.26e-06,RT,,unknow,argyrodites,unknow,10.1021/jacs.8b10282,2018,appendix: diffraction data available；close match: Yes；close match DOI: 10.1002/anie.200703900
5gj,Li6.1P0.90Ge0.1S5I,8.86e-06,RT,,unknow,argyrodites,unknow,10.1021/jacs.8b10282,2018,appendix: diffraction data available
t17,Li6.15P0.85Ge0.15S5I,3.93e-05,RT,,unknow,argyrodites,unknow,10.1021/jacs.8b10282,2018,appendix: diffraction data available
kf7,Li6.2P0.8Ge0.2S5I,3.19e-05,RT,,unknow,argyrodites,unknow,10.1021/jacs.8b10282,2018,appendix: diffraction data available
utv,Li6.25P0.75Ge0.25S5I,0.00015,RT,,unknow,argyrodites,unknow,10.1021/jacs.8b10282,2018,appendix: diffraction data available
q9f,Li6.3P0.7Ge0.3S5I,0.00065,RT,,unknow,argyrodites,unknow,10.1021/jacs.8b10282,2018,appendix: diffraction data available
5qw,Li6.4P0.6Ge0.4S5I,0.0015,RT,,unknow,argyrodites,unknow,10.1021/jacs.8b10282,2018,appendix: diffraction data available
znj,Li6.5P0.5Ge0.5S5I,0.00186,RT,,unknow,argyrodites,unknow,10.1021/jacs.8b10282,2018,appendix: diffraction data available
pa1,Li6.6P0.4Ge0.6S5I,0.00521,RT,,unknow,argyrodites,unknow,10.1021/jacs.8b10282,2018,appendix: diffraction data available；close match: Yes；close match DOI: 10.1021/jacs.1c11571
lxk,Li6.7P0.3Ge0.7S5I,0.00554,RT,,unknow,argyrodites,unknow,10.1021/jacs.8b10282,2018,appendix: diffraction data available
1m8,Li6.8P0.2Ge0.8S5I,0.00258,RT,,unknow,argyrodites,unknow,10.1021/jacs.8b10282,2018,appendix: diffraction data available
9zr,Li6PS5Br,0.000701,RT,,unknow,argyrodites,unknow,10.1039/c7ta08581h,2018,
a8v,Li6.025P0.975Si0.025S5Br,0.000878,RT,,unknow,argyrodites,unknow,10.1039/c7ta08581h,2018,
09w,Li6.05P0.95Si0.05S5Br,0.000437,RT,,unknow,argyrodites,unknow,10.1039/c7ta08581h,2018,
x2v,Li6.075P0.925Si0.075S5Br,0.000873,RT,,unknow,argyrodites,unknow,10.1039/c7ta08581h,2018,
bnh,Li6.1P0.95Si0.1S5Br,0.000799,RT,,unknow,argyrodites,unknow,10.1039/c7ta08581h,2018,
x9d,Li6.125P0.875Si0.125S5Br,0.000902,RT,,unknow,argyrodites,unknow,10.1039/c7ta08581h,2018,
ish,Li6.175P0.825Si0.175S5Br,0.000931,RT,,unknow,argyrodites,unknow,10.1039/c7ta08581h,2018,
iiy,Li6.2P0.8Si0.2S5Br,0.00169,RT,,unknow,argyrodites,unknow,10.1039/c7ta08581h,2018,
3zo,Li6.225P0.775Si0.225S5Br,0.00108,RT,,unknow,argyrodites,unknow,10.1039/c7ta08581h,2018,
vj7,Li6.25P0.75Si0.25S5Br,0.00141,RT,,unknow,argyrodites,unknow,10.1039/c7ta08581h,2018,
wsd,Li6.3P0.7Si0.3S5Br,0.00165,RT,,unknow,argyrodites,unknow,10.1039/c7ta08581h,2018,
10s,Li6.35P0.65Si0.35S5Br,0.00234,RT,,unknow,argyrodites,unknow,10.1039/c7ta08581h,2018,
fkj,Li6.5P0.5Si0.5S5Br,0.00219,RT,,unknow,argyrodites,unknow,10.1039/c7ta08581h,2018,
ard,LiTa2PO8,0.0016,RT,,unknow,oxides,unknow,10.1039/c8ta09170f,2018,
ek5,LiSrNb2O6F,<1E-10,RT,,unknow,pyrochlore,unknow,10.2497/jjspm.65.26,2018,
xut,LiSrTa2O6F,<1E-10,RT,,unknow,pyrochlore,unknow,10.2497/jjspm.65.26,2018,
ckw,LiSr0.9Nb2O6F0.8,<1E-10,RT,,unknow,pyrochlore,unknow,10.2497/jjspm.65.26,2018,
yab,LiSr0.9Ta2O6F0.8,<1E-10,RT,,unknow,pyrochlore,unknow,10.2497/jjspm.65.26,2018,
ysm,Li1.1SrNb1.9Zr0.1O6F,<1E-10,RT,,unknow,pyrochlore,unknow,10.2497/jjspm.65.26,2018,
e81,Li1.1SrTa1.9Zr0.1O6F,<1E-10,RT,,unknow,pyrochlore,unknow,10.2497/jjspm.65.26,2018,
de5,Li3InCl6,0.00204,RT,,unknow,Halide,unknow,10.1002/anie.201909805,2019,partial occupancy corrected
v12,Li3InCl6,0.00204,25,,水介导合成 + 200°C真空脱水,halides,否,10.1002/anie.201909805,2019,Curator row 12; water-mediated synthesis and vacuum dehydration at 200 C; original 2.04 mS/cm at 25 C
mq1,Li3SbS4,4.8e-09,RT,,unknow,thio-LISICON,unknow,10.1016/j.ssi.2019.01.017,2019,diffraction data available
dmq,Li3AlS3,1.31e-08,RT,,unknow,sulfides,unknow,10.1021/acs.chemmater.9b03230,2019,
4ie,Li6.05Ga0.25La3Zr2O11.8F0.2,0.00128,RT,,unknow,garnet,unknow,10.1021/acsami.8b17656,2019,appendix: diffraction data available
v23,Li3InCl6,0.00149,RT,,球磨 + 260°C退火,halides,否,10.1039/c9ee02311a,2019,Curator row 23; ball-milled and annealed at 260 C; monoclinic; original 1.49 mS/cm
v49,Li3InCl6,0.00083,RT,,球磨（未退火）,halides,否,10.1039/c9ee02311a,2019,Curator row 49; ball-milled without annealing; corrected DOI; original 0.83 mS/cm
v22,Li3InCl6,0.0015,RT,,水相原位生长,halides,否,10.1016/j.nanoen.2020.105015,2020,Curator row 22; aqueous in situ growth on LiCoO2 surface; original 1.5 mS/cm
